"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"NDSI";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,43328;17,9184744631275;0,916086211070731;0,923363799949647;0,845880844935744;12564,9864985798;0,570301;6,02891759056237e-13;-0,287851497603901;2,558205;31;3;1;1;"SMJYB03_20220410_095127.wav";2022-04-10 10:16:27
1;55,2825247278484;0,976826791871916;0,963529677395977;0,941201603644095;9329,64182790579;0,780926;1,62265578457726e-12;0,57355354019775;1,922576;37;3;1;2;"SMJYB03_20220410_095127.wav";2022-04-10 10:11:27
1;48,7420047599616;0,980203802212404;0,921728784044638;0,90348205872917;9169,57956039686;0,607534;1,67378347021733e-12;0,344347454851816;2,369777;2;3;1;3;"SMJYB03_20220410_095127.wav";2022-04-10 10:06:27
1;62,6126789252957;0,958335437379938;0,929103195655642;0,890392517379747;9176,86997426415;0,564577;1,0381123546428e-12;0,279164749049916;2,50651;1;3;1;4;"SMJYB03_20220410_095127.wav";2022-04-10 10:01:27
1;40,4858974301518;0,979432222728519;0,916029095940363;0,897188413520866;9822,56203089291;0,472329;1,6556241479585e-12;0,224476878710854;2,633468;1;3;1;5;"SMJYB03_20220410_095127.wav";2022-04-10 09:56:27
1;52,4577444082627;0,979897301730459;0,958746826361136;0,939473428193918;10082,0095467504;0,495997;1,69482754151937e-12;0,256795426706917;2,589202;2;3;2;1;"SMJYB03_20220410_102102.wav";2022-04-10 10:46:02
1;41,5714556496473;0,979884607615388;0,920902590985596;0,902378274019914;9784,84835151825;0,490035;1,69682906942159e-12;0,274516531506938;2,594538;3;3;2;2;"SMJYB03_20220410_102102.wav";2022-04-10 10:41:02
1;58,5473177219941;0,979008750384981;0,974805759168746;0,954343368151877;9809,20468138714;0,515889;1,67921065597193e-12;0,276510820336549;2,542048;7;3;2;3;"SMJYB03_20220410_102102.wav";2022-04-10 10:36:02
1;49,325994909541;0,978088418627259;0,939360302704767;0,918777432993729;9707,58572337202;0,508527;1,6458920878046e-12;0,269442680678247;2,564355;1;3;2;4;"SMJYB03_20220410_102102.wav";2022-04-10 10:31:02
1;42,539263148002;0,977710330036867;0,911432200133372;0,891116677198627;9669,67577381475;0,515325;1,62431646301456e-12;0,297964062384127;2,5531;6;3;2;5;"SMJYB03_20220410_102102.wav";2022-04-10 10:26:02
1;24,4422942360361;0,978667678101405;0,88238075183945;0,863557521604086;9617,49798166288;0,539537;1,64643785806263e-12;0,342843421245731;2,507047;5;3;3;1;"SMJYB03_20220410_105102.wav";2022-04-10 11:16:02
1;48,4409878469983;0,978951378502969;0,924235421969668;0,90478154039848;9419,94077751468;0,600281;1,66477226731549e-12;0,302448008867208;2,385142;2;3;3;2;"SMJYB03_20220410_105102.wav";2022-04-10 11:11:02
1;48,2179240167369;0,977432491704393;0,923651030342138;0,902806528052646;9370,0644973692;0,624128;1,63536823545006e-12;0,370186059900388;2,342014;2;3;3;3;"SMJYB03_20220410_105102.wav";2022-04-10 11:06:02
1;43,9699504660304;0,980745621327878;0,922811152334299;0,905042996964397;9177,88749849506;0,597891;1,72545010012183e-12;0,267134600795908;2,39621;3;3;3;4;"SMJYB03_20220410_105102.wav";2022-04-10 11:01:02
1;43,3764304070694;0,980389432388106;0,922619449008772;0,904526357923937;9128,2525545563;0,649232;1,7108022582226e-12;0,275113676649762;2,292822;2;3;3;5;"SMJYB03_20220410_105102.wav";2022-04-10 10:56:02
