"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"NDSI";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
1;18,6005289492537;0,948380346811927;0,913079527316656;0,86594667878344;11858,4698660194;0,697364;1,11872113511801e-12;-0,246546536774695;2,143283;15;5;1;1;"SMJYB05_20220408_095147.wav";2022-04-08 10:16:47
1;62,0065046287076;0,981500594556781;0,95670055316066;0,939002161739989;9015,09375677932;0,652886;1,7647349138398e-12;-0,143418741606917;2,273765;1;5;1;2;"SMJYB05_20220408_095147.wav";2022-04-08 10:11:47
1;65,0474548590539;0,983021818108886;0,933802087099156;0,917947825414084;8818,21848054651;0,530217;1,80270432023191e-12;-0,116256917393748;2,497579;1;5;1;3;"SMJYB05_20220408_095147.wav";2022-04-08 10:06:47
1;64,9520662210052;0,983036841671411;0,933625030940963;0,917787801721578;8820,06135557639;0,449406;1,80537288948986e-12;-0,11837779120164;2,64659;1;5;1;4;"SMJYB05_20220408_095147.wav";2022-04-08 10:01:47
1;65,148037344412;0,983046414412859;0,933938425144968;0,918104820121153;8813,20873222566;0,459152;1,80616314528189e-12;-0,11783356863103;2,62931;1;5;1;5;"SMJYB05_20220408_095147.wav";2022-04-08 09:56:47
1;64,9370329732475;0,983044636379887;0,933633161368513;0,917803071629714;8815,79669463363;0,450854;1,80577549441967e-12;-0,120321199980937;2,6441;1;5;2;1;"SMJYB05_20220408_102102.wav";2022-04-08 10:46:02
1;64,9534500447484;0,983034018985709;0,933495815545023;0,917658143261565;8813,94322542892;0,452302;1,80426749661962e-12;-0,124384241716284;2,641297;1;5;2;2;"SMJYB05_20220408_102102.wav";2022-04-08 10:41:02
1;64,7414051104929;0,983061070467865;0,933602511797723;0,917788284639357;8815,07629204252;0,463701;1,80406189649951e-12;-0,133113748754386;2,621126;1;5;2;3;"SMJYB05_20220408_102102.wav";2022-04-08 10:36:02
1;64,8461071417742;0,983056387014094;0,933705132191213;0,917884793788411;8813,60588377883;0,483272;1,80605419337321e-12;-0,128317458317556;2,585279;1;5;2;4;"SMJYB05_20220408_102102.wav";2022-04-08 10:31:02
1;64,6878748299312;0,983079070934215;0,933785591747247;0,91798507198664;8819,11572148349;0,476827;1,80480201363025e-12;-0,137944218939795;2,597198;1;5;2;5;"SMJYB05_20220408_102102.wav";2022-04-08 10:26:02
1;64,5111290948384;0,983054214715187;0,933521099665808;0,917701851552028;8816,07546167595;0,475584;1,80581231857282e-12;-0,142749313594922;2,599712;1;5;3;1;"SMJYB05_20220408_105102.wav";2022-04-08 11:16:02
1;64,6374914086879;0,98306202097824;0,933911794150932;0,918093215773429;8824,49982754117;0,454051;1,80512102681267e-12;-0,137101108216931;2,638806;1;5;3;2;"SMJYB05_20220408_105102.wav";2022-04-08 11:11:02
1;64,4162476342709;0,983052474289434;0,933422653044815;0,917603448633513;8817,52338381658;0,459784;1,80491996140977e-12;-0,138952690894504;2,62862;1;5;3;3;"SMJYB05_20220408_105102.wav";2022-04-08 11:06:02
1;64,6665985756233;0,983057001622454;0,933710026266256;0,917890178806128;8812,5936054446;0,521572;1,80383960702593e-12;-0,126694620804615;2,514846;1;5;3;4;"SMJYB05_20220408_105102.wav";2022-04-08 11:01:02
1;64,8183802568917;0,982987494121581;0,933347268858783;0,917468692960717;8813,22258104039;0,525736;1,80324567532828e-12;-0,108982657045623;2,506666;1;5;3;5;"SMJYB05_20220408_105102.wav";2022-04-08 10:56:02
1;64,8354458299176;0,983052929716399;0,933806456192004;0,917981172547638;8816,87839039812;0,453844;1,80461700917997e-12;-0,120881703364512;2,638519;1;5;4;1;"SMJYB05_20220408_112102.wav";2022-04-08 11:46:02
1;64,7756490059971;0,983071580629336;0,93323498207641;0,917436788928446;8816,21199736075;0,451281;1,80555887556572e-12;-0,123948593250422;2,64336;1;5;4;2;"SMJYB05_20220408_112102.wav";2022-04-08 11:41:02
1;64,7063333659153;0,982995653333338;0,934034035662039;0,918151397121181;8835,43148188771;0,503745;1,80334170206917e-12;-0,115855634449914;2,54955;1;5;4;3;"SMJYB05_20220408_112102.wav";2022-04-08 11:36:02
1;64,6596689647575;0,983071871523236;0,932732789327499;0,916943368835273;8809,93621184162;0,450572;1,80641822999944e-12;-0,118548066504625;2,64434;1;5;4;4;"SMJYB05_20220408_112102.wav";2022-04-08 11:31:02
1;64,7789119352132;0,983045256153777;0,933335664483631;0,917511197369767;8818,47658752953;0,463552;1,80321663043436e-12;-0,117857712986054;2,621318;1;5;4;5;"SMJYB05_20220408_112102.wav";2022-04-08 11:26:02
1;64,6787703008673;0,983058003009604;0,932648827878476;0,916847894243462;8818,59057381236;0,462745;1,80649047191662e-12;-0,12197418243191;2,622059;1;5;5;1;"SMJYB05_20220408_115102.wav";2022-04-08 12:16:02
1;64,8350755366425;0,983055086792875;0,933195944217186;0,917383019937185;8815,33283985023;0,458834;1,80599586280503e-12;-0,120646411148583;2,629443;1;5;5;2;"SMJYB05_20220408_115102.wav";2022-04-08 12:11:02
1;64,9081135068352;0,982948701108723;0,932986614803194;0,917077981172625;8822,47394471857;0,541507;1,80219944447842e-12;-0,1006754958586;2,476089;1;5;5;3;"SMJYB05_20220408_115102.wav";2022-04-08 12:06:02
1;64,8596804954256;0,983055750828032;0,933077651640057;0,917267351413873;8824,10930642113;0,453023;1,80566968869649e-12;-0,11178855439852;2,640134;1;5;5;4;"SMJYB05_20220408_115102.wav";2022-04-08 12:01:02
1;65,0291184169802;0,982691019869247;0,933016806971366;0,91686723759784;8829,7651792107;0,586261;1,79658022410414e-12;-0,06715691430301;2,39283;2;5;5;5;"SMJYB05_20220408_115102.wav";2022-04-08 11:56:02
1;64,80051302881;0,983073361974244;0,932966922867672;0,917174929474287;8815,70078827161;0,451581;1,80459533028837e-12;-0,110600031973302;2,642716;1;5;6;1;"SMJYB05_20220408_122102.wav";2022-04-08 12:46:02
1;64,8565235373287;0,983061386806869;0,933140507121751;0,917334401016773;8818,28589106587;0,463663;1,80445314315139e-12;-0,105766360463716;2,620538;1;5;6;2;"SMJYB05_20220408_122102.wav";2022-04-08 12:41:02
1;64,821562329642;0,982960642609307;0,932920785225342;0,917024414548681;8822,41008914227;0,503071;1,8007836359152e-12;-0,0902465141496737;2,548104;2;5;6;3;"SMJYB05_20220408_122102.wav";2022-04-08 12:36:02
1;64,9952161712751;0,982767481738886;0,933355685290355;0,917271616399475;8816,91367885003;0,571596;1,79366446471255e-12;-0,108272476446159;2,420027;2;5;6;4;"SMJYB05_20220408_122102.wav";2022-04-08 12:31:02
1;64,9101801667174;0,98298649993037;0,933101275455285;0,917225956840355;8815,98055443421;0,544554;1,80279729375412e-12;-0,0952398258949139;2,470219;1;5;6;5;"SMJYB05_20220408_122102.wav";2022-04-08 12:26:02
1;65,0717780638208;0,983053628530582;0,933748947750309;0,917925291222554;8815,16909878944;0,454259;1,80410991267635e-12;-0,106619147010204;2,637634;1;5;7;1;"SMJYB05_20220408_125102.wav";2022-04-08 13:16:02
1;64,806785676994;0,98302148569785;0,933021560732626;0,917180240819513;8813,03320368038;0,473009;1,80361164900091e-12;-0,106351686280691;2,603423;1;5;7;2;"SMJYB05_20220408_125102.wav";2022-04-08 13:11:02
1;64,7546529819099;0,983054275989792;0,933264062221598;0,917449226994545;8817,03711843705;0,501834;1,80603506533177e-12;-0,108860214397463;2,550358;1;5;7;3;"SMJYB05_20220408_125102.wav";2022-04-08 13:06:02
1;64,741012002102;0,983063662002611;0,933235500827464;0,917429908954288;8811,94188652818;0,4539;1,80533717222121e-12;-0,116201850638893;2,6384;1;5;7;4;"SMJYB05_20220408_125102.wav";2022-04-08 13:01:02
1;64,7309740118514;0,983047747964399;0,933227271391605;0,917406967480479;8814,6078944076;0,464312;1,8041011649693e-12;-0,115569759396729;2,619527;1;5;7;5;"SMJYB05_20220408_125102.wav";2022-04-08 12:56:02
1;64,596925581414;0,982989957301213;0,932835723277998;0,916968147794086;8824,97560538764;0,516498;1,8019714075548e-12;-0,0802131698807242;2,523208;2;5;8;1;"SMJYB05_20220408_132102.wav";2022-04-08 13:46:02
1;64,8644116044351;0,983004023482401;0,933088094558823;0,917229351214851;8815,38299985569;0,513692;1,80530975163309e-12;-0,0947286627506187;2,528291;2;5;8;2;"SMJYB05_20220408_132102.wav";2022-04-08 13:41:02
1;64,8096876268123;0,983050036599417;0,932966134258742;0,917152392429073;8818,39690782918;0,460426;1,80569543917797e-12;-0,112402696091152;2,626355;1;5;8;3;"SMJYB05_20220408_132102.wav";2022-04-08 13:36:02
1;64,7885338675216;0,983054396806719;0,932915395247744;0,917106581146973;8814,92502471427;0,449415;1,80650332720266e-12;-0,11275090755582;2,646765;1;5;8;4;"SMJYB05_20220408_132102.wav";2022-04-08 13:31:02
1;64,7557496117808;0,983052306058661;0,933261012750663;0,917444390739181;8816,2396301855;0,454744;1,80647356096435e-12;-0,113470044707872;2,636781;1;5;8;5;"SMJYB05_20220408_132102.wav";2022-04-08 13:26:02
1;64,8762545514241;0,98305167068685;0,933321086594906;0,917502853464388;8810,08943196621;0,46025;1,80615313820319e-12;-0,114342634029025;2,626828;1;5;9;1;"SMJYB05_20220408_135102.wav";2022-04-08 14:16:02
1;64,7427566470153;0,98304690172473;0,932903617049109;0,91708801034792;8818,11351752483;0,448111;1,8057919384506e-12;-0,115597161298255;2,649175;1;5;9;2;"SMJYB05_20220408_135102.wav";2022-04-08 14:11:02
1;64,6778341633303;0,983045791095391;0,932714326858385;0,916900893312506;8812,23085394897;0,453679;1,80590582073196e-12;-0,11527447422235;2,638981;1;5;9;3;"SMJYB05_20220408_135102.wav";2022-04-08 14:06:02
1;64,7229398099228;0,983041796566316;0,93282939350809;0,91701028288406;8816,3997765337;0,454735;1,80432001723747e-12;-0,110526091693059;2,636865;1;5;9;4;"SMJYB05_20220408_135102.wav";2022-04-08 14:01:02
1;64,7271215973345;0,982969340864392;0,932952499968052;0,917063703951383;8818,12183733439;0,56727;1,80200523225487e-12;-0,103399064746643;2,427168;1;5;9;5;"SMJYB05_20220408_135102.wav";2022-04-08 13:56:02
1;64,8259383581804;0,983027979641396;0,93350044790056;0,917657059294026;8816,34464345679;0,484162;1,80335544044563e-12;-0,112906000343785;2,58297;1;5;10;1;"SMJYB05_20220408_142102.wav";2022-04-08 14:46:02
1;64,778665662081;0,98304901475219;0,933067350908899;0,917250940008429;8812,74055862248;0,461034;1,80607630277644e-12;-0,11982351963506;2,625424;1;5;10;2;"SMJYB05_20220408_142102.wav";2022-04-08 14:41:02
1;64,6593826784113;0,983033798017574;0,932989841727347;0,91716054762505;8812,82962504773;0,450767;1,80452436282758e-12;-0,115514884458629;2,644338;1;5;10;3;"SMJYB05_20220408_142102.wav";2022-04-08 14:36:02
1;64,8739557065117;0,983054986220266;0,933312452046549;0,917497459685823;8808,91012899948;0,457783;1,80505141075592e-12;-0,112616166221241;2,631505;1;5;10;4;"SMJYB05_20220408_142102.wav";2022-04-08 14:31:02
1;64,7603187397503;0,98304079777622;0,932931600797416;0,917109825118537;8818,92252254709;0,453797;1,80502827636002e-12;-0,116991253167738;2,638644;1;5;10;5;"SMJYB05_20220408_142102.wav";2022-04-08 14:26:02
1;64,7749649014276;0,983031485304319;0,933028192800858;0,917196090199832;8810,3691904004;0,465097;1,80420999570823e-12;-0,112744792682008;2,617905;1;5;11;1;"SMJYB05_20220408_145102.wav";2022-04-08 15:16:02
1;64,7095489094932;0,98296057064654;0,932992155107964;0,91709450119367;8814,49455619315;0,575826;1,80128966330004e-12;-0,103759823861721;2,411526;2;5;11;2;"SMJYB05_20220408_145102.wav";2022-04-08 15:11:02
1;64,8946945986184;0,982986570166017;0,933188757195061;0,917312015752661;8816,07363650175;0,519356;1,80186302259041e-12;-0,0965029115441711;2,517779;1;5;11;3;"SMJYB05_20220408_145102.wav";2022-04-08 15:06:02
1;64,7996827688255;0,983043445514015;0,933055869713505;0,91723445702024;8811,36688479273;0,45616;1,80568657944218e-12;-0,111806061630186;2,634465;1;5;11;4;"SMJYB05_20220408_145102.wav";2022-04-08 15:01:02
1;64,7869484618959;0,98302275703129;0,933234702524417;0,917390950232828;8816,74523110268;0,47734;1,80333647769255e-12;-0,109972883551672;2,595498;1;5;11;5;"SMJYB05_20220408_145102.wav";2022-04-08 14:56:02
1;64,7710807196583;0,983051017619107;0,933300040481954;0,917481554539739;8812,36285905785;0,4709;1,80552168146515e-12;-0,111826500268724;2,607213;1;5;12;1;"SMJYB05_20220408_152102.wav";2022-04-08 15:46:02
1;64,8420454848675;0,983024824259919;0,933290918806995;0,917448141443625;8812,62094665701;0,458492;1,80299168017303e-12;-0,111860114150969;2,630056;1;5;12;2;"SMJYB05_20220408_152102.wav";2022-04-08 15:41:02
1;64,8223141476562;0,982956939223983;0,932936584876071;0,917036489959859;8815,78471803078;0,526576;1,80311078590365e-12;-0,099526381509502;2,503836;1;5;12;3;"SMJYB05_20220408_152102.wav";2022-04-08 15:36:02
1;64,7219864197004;0,983045535214232;0,93325775773474;0,917434871945181;8814,79490745258;0,450271;1,80443355234253e-12;-0,114442624469871;2,645049;1;5;12;4;"SMJYB05_20220408_152102.wav";2022-04-08 15:31:02
1;64,8342037545331;0,983032513978913;0,933115531183581;0,917282906452165;8815,33906770388;0,467399;1,80545247593488e-12;-0,117186370646365;2,613643;1;5;12;5;"SMJYB05_20220408_152102.wav";2022-04-08 15:26:02
1;64,7738651525378;0,98305206846436;0,933206217725827;0,917390302639176;8817,73843165802;0,456956;1,80317749649756e-12;-0,115898229008065;2,632741;1;5;13;1;"SMJYB05_20220408_155102.wav";2022-04-08 16:16:02
