"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
1;52,3790340896794;0,983052189539996;0,932490751531536;0,916687075018873;7871,64221836718;0,459281;1,80280792603575e-12;2,627198;0;1;6;2;"SMJYB01_20220408_135202.wav";2022-04-08 14:12:02
1;52,3469056398611;0,983046534255459;0,932567997547711;0,916757737946831;7866,59910827794;0,457168;1,80206941844373e-12;2,63141;0;1;6;3;"SMJYB01_20220408_135202.wav";2022-04-08 14:07:02
1;52,3206458686958;0,983040835244193;0,932512418434365;0,916697786693301;7868,37647505447;0,477864;1,80214283528924e-12;2,593097;0;1;6;4;"SMJYB01_20220408_135202.wav";2022-04-08 14:02:02
1;52,037093889286;0,983035300328888;0,931572111454326;0,91576827036152;7872,72346897562;0,471738;1,80321471055917e-12;2,604343;0;1;6;5;"SMJYB01_20220408_135202.wav";2022-04-08 13:57:02
1;51,6840872491189;0,983041441243059;0,930454453212555;0,914675286697093;7880,47109241803;0,457176;1,80306483895275e-12;2,631041;0;1;7;1;"SMJYB01_20220408_142202.wav";2022-04-08 14:47:02
1;52,2354520807713;0,983028549982667;0,932016306257488;0,9161986381005;7865,85368608079;0,46235;1,80056905643573e-12;2,621314;0;1;7;2;"SMJYB01_20220408_142202.wav";2022-04-08 14:42:02
1;52,279410748271;0,983055435034486;0,932292495131144;0,916495204380533;7879,09725905087;0,462287;1,8023058160343e-12;2,621676;0;1;7;3;"SMJYB01_20220408_142202.wav";2022-04-08 14:37:02
1;52,3633366835222;0,983055618588958;0,932399870229864;0,916600931201083;7868,56340310323;0,454311;1,80311790914773e-12;2,636405;0;1;7;4;"SMJYB01_20220408_142202.wav";2022-04-08 14:32:02
1;52,3042162010098;0,983033280431141;0,932173153381105;0,916357232898069;7867,37577206542;0,457881;1,80317989598276e-12;2,630047;0;1;7;5;"SMJYB01_20220408_142202.wav";2022-04-08 14:27:02
1;52,3973443791532;0,983028958463163;0,932483862563992;0,916658640199988;7873,78919277801;0,458447;1,80154584081278e-12;2,628696;0;1;8;1;"SMJYB01_20220408_145202.wav";2022-04-08 15:17:02
1;52,292936123048;0,983044222953581;0,932350738045833;0,916542006802464;7866,39605688743;0,451528;1,80149222291015e-12;2,641981;0;1;8;2;"SMJYB01_20220408_145202.wav";2022-04-08 15:12:02
1;52,3603022776615;0,983069695526751;0,932549244260634;0,916760901619003;7870,75050264265;0,456054;1,80400058827474e-12;2,633417;0;1;8;3;"SMJYB01_20220408_145202.wav";2022-04-08 15:07:02
1;52,1706880348798;0,983044589297337;0,931784405131982;0,915985617856632;7871,18076135284;0,462269;1,80434454848635e-12;2,621635;0;1;8;4;"SMJYB01_20220408_145202.wav";2022-04-08 15:02:02
1;52,4190914059858;0,983036040930276;0,932673633938719;0,916851796587172;7877,35649667324;0,475932;1,80223539740221e-12;2,597099;0;1;8;5;"SMJYB01_20220408_145202.wav";2022-04-08 14:57:02
1;52,4270703501149;0,98304334018561;0,932544240472513;0,916731405024952;7869,98726260625;0,462437;1,80230125733099e-12;2,621433;0;1;9;1;"SMJYB01_20220408_152202.wav";2022-04-08 15:47:02
1;52,4311979693166;0,98304161611632;0,932504263435932;0,916690498163418;7870,29146980666;0,470218;1,80228284234906e-12;2,607131;0;1;9;2;"SMJYB01_20220408_152202.wav";2022-04-08 15:42:02
1;52,314492005354;0,983016755239344;0,932062307626919;0,916232865324309;7869,1167678949;0,450317;1,80166020654918e-12;2,644122;0;1;9;3;"SMJYB01_20220408_152202.wav";2022-04-08 15:37:02
1;52,3191369011832;0,983058371864708;0,932162375173005;0,916370026851114;7868,21000177792;0,448462;1,80363459000596e-12;2,647756;0;1;9;4;"SMJYB01_20220408_152202.wav";2022-04-08 15:32:02
1;52,3534114001456;0,983041747671699;0,932303917243823;0,916493672168539;7869,42151601854;0,473224;1,80367891875007e-12;2,601704;0;1;9;5;"SMJYB01_20220408_152202.wav";2022-04-08 15:27:02
1;52,4797437041157;0,982967165225913;0,932471953968981;0,916589313245557;7874,14101052781;0,516259;1,79860678538959e-12;2,521427;0;1;10;1;"SMJYB01_20220408_155202.wav";2022-04-08 16:17:02
1;52,4179909234857;0,983030947404006;0,932490563597148;0,9166670821782;7866,97112862856;0,451569;1,80348745686689e-12;2,64176;0;1;10;2;"SMJYB01_20220408_155202.wav";2022-04-08 16:12:02
1;52,6040518808173;0,983041797910696;0,933160329984917;0,917335608527312;7869,95769917019;0,456883;1,80146588243292e-12;2,631899;0;1;10;3;"SMJYB01_20220408_155202.wav";2022-04-08 16:07:02
1;52,5066414467589;0,983039497231888;0,932788376196039;0,916967816359503;7876,14410999504;0,468834;1,80167836770939e-12;2,609709;0;1;10;4;"SMJYB01_20220408_155202.wav";2022-04-08 16:02:02
1;52,5566422665017;0,983026627555205;0,933003243988854;0,917167032436429;7866,79135372905;0,463552;1,80336902211272e-12;2,619368;0;1;10;5;"SMJYB01_20220408_155202.wav";2022-04-08 15:57:02
1;52,5734962974742;0,983033082462987;0,932897954220855;0,917069551561141;7867,05395105801;0,475992;1,80338774581973e-12;2,596392;0;1;11;1;"SMJYB01_20220408_162202.wav";2022-04-08 16:47:02
1;52,6692858913897;0,98302882123861;0,933228244831112;0,917390261462906;7877,40652264926;0,466356;1,80208526166281e-12;2,614452;0;1;11;2;"SMJYB01_20220408_162202.wav";2022-04-08 16:42:02
1;52,5605813209154;0,98302491183096;0,932685016222636;0,916852605838314;7871,21328629412;0,484973;1,80156396294783e-12;2,579775;0;1;11;3;"SMJYB01_20220408_162202.wav";2022-04-08 16:37:02
1;52,7223085480302;0,983036430207868;0,933331127995852;0,917498500266925;7867,17000037331;0,456283;1,80255071004393e-12;2,6329;0;1;11;4;"SMJYB01_20220408_162202.wav";2022-04-08 16:32:02
1;52,6066383408762;0,983050626911918;0,932959030518954;0,917145959834793;7866,57268152096;0,448282;1,80392330813483e-12;2,648361;0;1;11;5;"SMJYB01_20220408_162202.wav";2022-04-08 16:27:02
1;52,6860934491417;0,983040904198161;0,933167132815694;0,917341462011145;7870,12819326647;0,450327;1,80288312096596e-12;2,644389;0;1;12;1;"SMJYB01_20220408_165202.wav";2022-04-08 17:17:02
1;52,6293806147841;0,983034697224422;0,932858446336643;0,917032220347787;7875,14099140417;0,469895;1,80228922881848e-12;2,607585;0;1;12;2;"SMJYB01_20220408_165202.wav";2022-04-08 17:12:02
1;52,7117871837108;0,983041897404686;0,933208575551919;0,917383128784883;7873,65839642189;0,453359;1,80226407053685e-12;2,638693;0;1;12;3;"SMJYB01_20220408_165202.wav";2022-04-08 17:07:02
1;52,6355726120116;0,983028496714718;0,932829363828938;0,916997847216108;7870,86790427861;0,465057;1,80332489458367e-12;2,616559;0;1;12;4;"SMJYB01_20220408_165202.wav";2022-04-08 17:02:02
