"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,362275555555556;11,8025155292258;0,93315988907311;0,926256159856657;0,864345095385123;11789,6389411093;0,564312;7,76557648195628e-13;2,567987;41;2;5;1;"SMJYB02_20220410_090951.wav";2022-04-10 09:34:51
0,999964444444444;34,2293793426665;0,976906529563205;0,98209157865064;0,959411675812846;8593,90798784457;0,749828;1,64061845140907e-12;2,047552;38;2;5;2;"SMJYB02_20220410_090951.wav";2022-04-10 09:29:51
1;40,58036937371;0,982495961834543;0,921395903980106;0,905267754911342;8025,87331559469;0,580213;1,77496909942096e-12;2,405738;1;2;5;3;"SMJYB02_20220410_090951.wav";2022-04-10 09:24:51
1;39,9544688865538;0,982687374304244;0,918690726769528;0,902785778086805;7991,01319583966;0,535915;1,77741161058271e-12;2,500604;2;2;5;4;"SMJYB02_20220410_090951.wav";2022-04-10 09:19:51
1;39,3567941331414;0,98277393615633;0,916778970359724;0,900986477285774;7942,40574522719;0,484137;1,77960940484892e-12;2,616756;1;2;5;5;"SMJYB02_20220410_090951.wav";2022-04-10 09:14:51
1;39,2809254358232;0,982808511283135;0,91540957836806;0,899672324930236;7925,93073083664;0,56855;1,78310118943615e-12;2,425872;1;2;6;1;"SMJYB02_20220410_093902.wav";2022-04-10 10:04:02
1;39,185509288974;0,982756626033033;0,916975365740163;0,901163616590208;7942,24344921444;0,616093;1,77718130422971e-12;2,320561;1;2;6;2;"SMJYB02_20220410_093902.wav";2022-04-10 09:59:02
1;33,7874336205028;0,982715159714486;0,922040702106121;0,906103375833474;8028,74374042613;0,543773;1,78240646830863e-12;2,484894;0;2;6;3;"SMJYB02_20220410_093902.wav";2022-04-10 09:54:02
1;38,7603447006275;0,982888525194816;0,915124919639115;0,899465782633114;7903,39170007257;0,509609;1,78531645754838e-12;2,557999;2;2;6;4;"SMJYB02_20220410_093902.wav";2022-04-10 09:49:02
1;39,8878149819757;0,982694911167282;0,916099939453494;0,900246748621604;7909,27682081366;0,502567;1,77634996235266e-12;2,573184;2;2;6;5;"SMJYB02_20220410_093902.wav";2022-04-10 09:44:02
1;54,0897617863963;0,980178341215312;0,936864456176434;0,918294248598603;7958,50451218634;0,441389;1,68466454716725e-12;2,705719;0;2;7;1;"SMJYB02_20220410_100902.wav";2022-04-10 10:34:02
