"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"NDSI";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,758435555555556;18,8012311437666;0,93632042619918;0,926029270535631;0,867060121260838;14630,2782525283;0,499432;6,04372659911639e-13;-0,113220142106124;2,754611;10;2;2;1;"SMJYB02_20220405_111500.wav";2022-04-05 11:45:00
0,741191111111111;20,7397182544924;0,944729994838521;0,939725286178954;0,887786664761471;11568,8079735407;0,547561;8,20399882218611e-13;0,135581675671957;2,652673;25;2;2;2;"SMJYB02_20220405_111500.wav";2022-04-05 11:40:00
0,904284444444444;61,4747050166588;0,956662038371493;0,974359309861441;0,932132563478287;9175,14358946216;0,704932;1,05056383674681e-12;0,216161990487114;2,208132;35;2;2;3;"SMJYB02_20220405_111500.wav";2022-04-05 11:35:00
1;32,781172856061;0,981669935180467;0,920883568749778;0,904003713243351;8880,42264143245;0,653243;1,79962377978605e-12;0,672061175127144;2,296558;6;2;2;4;"SMJYB02_20220405_111500.wav";2022-04-05 11:30:00
0,969884444444444;33,833076910476;0,973318595216906;0,920517130681853;0,895956440508358;8873,13007792306;0,865556;1,57082485352283e-12;-0,466436780103821;1,391246;5;2;2;5;"SMJYB02_20220405_111500.wav";2022-04-05 11:25:00
1;37,9079598260293;0,970839242228354;0,914161147882368;0,887503516084721;8883,99560653747;0,79914;1,47310417622328e-12;0,796533511563491;1,830921;3;2;2;6;"SMJYB02_20220405_111500.wav";2022-04-05 11:20:00
1;33,4601230821455;0,980205616608198;0,921720777809089;0,903475883352946;8873,25071698665;0,722459;1,75710798534575e-12;0,347058107850121;2,114874;5;2;3;1;"SMJYB02_20220405_114502.wav";2022-04-05 12:10:02
0,863217777777778;36,6122579580869;0,96560840661645;0,919056755923471;0,887448929677346;8908,4128975851;0,903606;1,53137361629193e-12;0,830634335673248;0,989332;5;2;3;2;"SMJYB02_20220405_114502.wav";2022-04-05 12:05:02
1;33,8444802894868;0,980403801808634;0,924712440832076;0,906591592571509;8875,31640323315;0,780522;1,75438828386792e-12;0,127786237095802;1,914855;3;2;3;3;"SMJYB02_20220405_114502.wav";2022-04-05 12:00:02
1;36,2162910068613;0,98081571333762;0,923434593808641;0,905719159847058;8917,15434507758;0,684016;1,7798120638489e-12;0,20500192114563;2,21585;8;2;3;4;"SMJYB02_20220405_114502.wav";2022-04-05 11:55:02
1;35,4938734983506;0,981682333270992;0,923982613483887;0,907057407906692;8863,43000032128;0,621458;1,8013144342675e-12;0,0912259955400724;2,364404;4;2;3;5;"SMJYB02_20220405_114502.wav";2022-04-05 11:50:02
1;34,0375095427319;0,981131712128255;0,919242108382244;0,901897583657458;8871,27864307659;0,655556;1,77340744488182e-12;0,243642197947523;2,285807;8;2;4;1;"SMJYB02_20220405_121502.wav";2022-04-05 12:40:02
1;33,1389339204441;0,980520744309868;0,921662696425315;0,90370939310159;8848,21346656227;0,826298;1,76256669179813e-12;-0,081145556192733;1,688816;7;2;4;2;"SMJYB02_20220405_121502.wav";2022-04-05 12:35:02
1;35,6981237309753;0,978324138829699;0,918212037818604;0,898309001161949;8849,4600193895;0,719929;1,67349125589524e-12;0,406257413125189;2,092473;7;2;4;3;"SMJYB02_20220405_121502.wav";2022-04-05 12:30:02
1;36,3108052928813;0,976048597945356;0,914132179603331;0,892237432238564;8862,57911844433;0,722856;1,63013790246643e-12;0,833533077443502;2,060477;6;2;4;4;"SMJYB02_20220405_121502.wav";2022-04-05 12:25:02
