"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,760924444444444;12,1408804973825;0,938721066497984;0,924338576040361;0,867696093905836;10988,0102436926;0,664492;9,44006055975686e-13;2,25137;29;2;1;1;"SMJYB02_20220408_104421.wav";2022-04-08 11:09:21
1;28,4588046687589;0,981496967664933;0,95496203233624;0,937292338973161;8315,903580495;0,659931;1,76199674912265e-12;2,253304;13;2;1;2;"SMJYB02_20220408_104421.wav";2022-04-08 11:04:21
1;42,0442205533119;0,983080580874599;0,915897808954811;0,900401350049068;7877,12231672266;0,52024;1,79927543801758e-12;2,520242;0;2;1;3;"SMJYB02_20220408_104421.wav";2022-04-08 10:59:21
1;41,6990280660548;0,983084342020051;0,914676016186436;0,899203669534164;7882,82595458968;0,51741;1,79904218629776e-12;2,526588;0;2;1;4;"SMJYB02_20220408_104421.wav";2022-04-08 10:54:21
1;41,9436602616037;0,982745679415194;0,916571656645352;0,900756835442646;7884,60491821586;0,658414;1,78648958079291e-12;2,229802;0;2;1;5;"SMJYB02_20220408_104421.wav";2022-04-08 10:49:21
1;41,5698660108398;0,983087213635053;0,913602409984236;0,898150847601671;7865,76818041874;0,506136;1,7999491421906e-12;2,549952;0;2;2;1;"SMJYB02_20220408_111402.wav";2022-04-08 11:39:02
1;42,2236332955192;0,983012025851342;0,914313361260185;0,898781029515324;7869,37425047465;0,56631;1,7995199733886e-12;2,421045;0;2;2;2;"SMJYB02_20220408_111402.wav";2022-04-08 11:34:02
1;42,9900508960307;0,982897103132521;0,915205977709256;0,899553304259994;7903,16661278826;0,579205;1,79333868892438e-12;2,397994;0;2;2;3;"SMJYB02_20220408_111402.wav";2022-04-08 11:29:02
1;41,8461607128371;0,983083381377764;0,914373849134129;0,898905735450181;7872,29600115589;0,500349;1,79794016892965e-12;2,564034;1;2;2;4;"SMJYB02_20220408_111402.wav";2022-04-08 11:24:02
1;41,7601524693887;0,982877266300983;0,914177772052661;0,898524549508242;7882,4866636439;0,618478;1,79337514384279e-12;2,312387;1;2;2;5;"SMJYB02_20220408_111402.wav";2022-04-08 11:19:02
