"ACOC";"BIOAC";"HF";"HT";"H";"ACI";"AEI";"M";"ADI";"NP";"SM";"FILERANK";"5MNPERIOD";"FILE";"START"
0,173653333333333;13,1071915431867;0,915242400724328;0,94108449318557;0,861320430827598;10960,4641710466;0,576678;6,29322585740738e-13;2,548703;41;5;1;1;"SMJYB05_20220410_100340.wav";2022-04-10 10:28:40
1;51,8082478268491;0,968803789644501;0,938955108326454;0,909663267252732;8089,33720454733;0,474312;1,21735301818807e-12;2,666593;0;5;1;2;"SMJYB05_20220410_100340.wav";2022-04-10 10:23:40
1;53,7778719107586;0,980359502169672;0,952704113260563;0,933992530191124;8317,48475603128;0,452491;1,69862133711492e-12;2,655374;0;5;1;3;"SMJYB05_20220410_100340.wav";2022-04-10 10:18:40
1;56,9872305584456;0,979165484843778;0,960980827891062;0,940959258267527;8464,61488596678;0,46039;1,65590633173788e-12;2,643349;3;5;1;4;"SMJYB05_20220410_100340.wav";2022-04-10 10:13:40
1;37,3047303191188;0,978997536170739;0,913391157263617;0,894207692521222;8582,14925585181;0,528606;1,66592602550531e-12;2,521014;1;5;1;5;"SMJYB05_20220410_100340.wav";2022-04-10 10:08:40
1;47,3946053826361;0,977889707345017;0,956050872669054;0,93491230808129;8512,96712204196;0,522021;1,64803722098646e-12;2,541151;1;5;2;1;"SMJYB05_20220410_103302.wav";2022-04-10 10:58:02
1;39,9375528959562;0,977651759362087;0,925187235956572;0,904510928972289;8364,20407506176;0,542733;1,619598083044e-12;2,50521;1;5;2;2;"SMJYB05_20220410_103302.wav";2022-04-10 10:53:02
1;34,9191305433956;0,977891683833527;0,922045325579097;0,901660456001375;8340,64346205357;0,641311;1,64187814498333e-12;2,324071;4;5;2;3;"SMJYB05_20220410_103302.wav";2022-04-10 10:48:02
0,999857777777778;33,7014072994691;0,976151073907021;0,917387772014872;0,895509058841487;8226,30792297287;0,758484;1,62966324324584e-12;2,012083;4;5;2;4;"SMJYB05_20220410_103302.wav";2022-04-10 10:43:02
1;32,9801982362083;0,979358356403889;0,918587413727381;0,899626259721347;8252,59383175555;0,594413;1,69382457545487e-12;2,417143;4;5;2;5;"SMJYB05_20220410_103302.wav";2022-04-10 10:38:02
1;30,3471167940394;0,980228748588242;0,918413329756171;0,900255148913652;8184,07977392711;0,602878;1,72663958568389e-12;2,407878;2;5;3;1;"SMJYB05_20220410_110302.wav";2022-04-10 11:28:02
1;31,3659635764485;0,979977599809462;0,919900618251381;0,901481999937228;8272,64809531772;0,700539;1,72404584011991e-12;2,209357;3;5;3;2;"SMJYB05_20220410_110302.wav";2022-04-10 11:23:02
1;29,2676823405722;0,979506302090061;0,916997001197554;0,898204341670691;8118,43664006336;0,705014;1,69661205656551e-12;2,181601;13;5;3;3;"SMJYB05_20220410_110302.wav";2022-04-10 11:18:02
0,182897777777778;25,5115325632004;0,975578078795969;0,932905670758458;0,910122321976402;8189,09844427997;0,86576;1,60212260419788e-12;1,394563;19;5;3;4;"SMJYB05_20220410_110302.wav";2022-04-10 11:13:02
0,986204444444444;11,077407520172;0,981357135408962;0,86820319169827;0,852017397157933;8204,77124290958;0,652714;1,75409150838574e-12;2,319398;16;5;3;5;"SMJYB05_20220410_110302.wav";2022-04-10 11:08:02
1;29,4308731260265;0,979716063231516;0,916088028906925;0,897506157254212;7996,78428965965;0,715796;1,69769978922649e-12;2,175216;3;5;4;1;"SMJYB05_20220410_113303.wav";2022-04-10 11:58:03
1;52,8446811258551;0,979146524158939;0,936631250125031;0,917099232978565;8109,37668765996;0,517054;1,65130362248474e-12;2,539807;0;5;4;2;"SMJYB05_20220410_113303.wav";2022-04-10 11:53:03
1;53,7767194890441;0,978322040317687;0,940828848313302;0,920433598471609;8321,34083123238;0,45267;1,60918932933512e-12;2,660443;0;5;4;3;"SMJYB05_20220410_113303.wav";2022-04-10 11:48:03
1;50,6075938634776;0,980457618720451;0,957820310689752;0,939102220980957;8519,50288069556;0,474829;1,71171474591195e-12;2,616498;1;5;4;4;"SMJYB05_20220410_113303.wav";2022-04-10 11:43:03
1;47,7622677851698;0,980757670557442;0,932357922514616;0,914417184211211;8386,63760267139;0,517222;1,72028474116121e-12;2,535407;0;5;4;5;"SMJYB05_20220410_113303.wav";2022-04-10 11:38:03
1;39,6573896437488;0,980295943205837;0,924792224871187;0,906570066349525;8365,64061797992;0,495595;1,71978370172188e-12;2,591288;1;5;5;1;"SMJYB05_20220410_120302.wav";2022-04-10 12:28:02
1;36,5461224774983;0,979974065585769;0,921890560790016;0,903428840882536;8334,70565987728;0,584343;1,71512369258584e-12;2,430337;0;5;5;2;"SMJYB05_20220410_120302.wav";2022-04-10 12:23:02
1;31,975382827802;0,981064317692498;0,921115828159199;0,903673871468765;8224,56288399302;0,592377;1,73504435508717e-12;2,419416;2;5;5;3;"SMJYB05_20220410_120302.wav";2022-04-10 12:18:02
