"name";"BIOAC";"H";"ACI";"ADI";"NDSI";"NP";"cv.BIOAC";"cv.H";"cv.ACI";"cv.ADI";"cv.NDSI";"cv.NP";"initial_name_mapsme";"label";"SM";"site";"island";"X";"Y"
"Moorea_1";41.9159341378883;0.906885637168092;8832.90967289899;2.38640240384615;0.449278973552746;3.65384615384615;0.0665793770873775;0.00271707291280736;0.00266291315240573;0.0435357241657075;0.158610039377283;0.915733815610536;"SM1_05042022_Meyer_opu1";"Moorea 1";"SM1";"Exploratory";"Moorea";"-149.82941";"-17.543296"
"Moorea_2";38.0795268686252;0.90312961395129;8907.51624403005;2.173828125;0.431111859526491;4.975;0.152266292277328;0.0040372892102008;0.00578898786374636;0.0576875311207669;0.580092854891914;0.269824348473665;"SM2_Meyer_Opu4";"Moorea 2";"SM2";"Exploratory";"Moorea";"-149.83955";"-17.546722"
"Moorea_3";38.8789044167406;0.903981476074929;8879.33073911414;2.05175405555556;-0.0787542044723215;3.11111111111111;0.165204743907613;0.00628401228673181;0.00580187987187656;0.20286740188875;-5.45722761518286;0.453080691317935;"SM3_Meyer_MOU1";"Moorea 3";"SM3";"Exploratory";"Moorea";"-149.84268";"-17.547468"
"Moorea_5";44.9012900063514;0.908937896875579;8854.65505959192;2.423113625;0.624055851582734;3.8125;0.156725003104039;0.00274742586611551;0.00216340672773774;0.0582719615667236;0.138560180819435;0.420242586532233;"SM5_Bambouseraie";"Moorea 5";"SM5";"Exploratory";"Moorea";"-149.83605";"-17.54525"
"Tahiti_controle_1";52.9012980706998;0.908435194218052;8867.22952243953;2.50687328205128;0.164923565624231;1.41025641025641;0.0611486917271682;0.00793059196569068;0.0128987019594869;0.0323631247152538;0.229407280607645;0.50712196144079;"SM1_vallee_2_10042022";"Arahurahu 1";"SM1";"Control";"Tahiti";"-149.57257";"-17.695632"
"Tahiti_controle_2";49.2697527230568;0.904275944139338;8869.45163276157;2.41418438095238;0.0946386424784034;1.73809523809524;0.114263607220846;0.0137482320023709;0.0131030935172329;0.0501417612085067;1.63790094072546;0.636115395712548;"SM2_vallée2_Tahiti_10042022";"Arahurahu 2";"SM2";"Control";"Tahiti";"-149.5716";"-17.696008"
"Tahiti_controle_3";39.2005680976758;0.901186912950914;8994.45561663354;2.17715912195122;0.278798293432006;4.39024390243902;0.136572284887589;0.0134944888573193;0.0238654156842414;0.0988218660483935;1.10645363898587;0.359708815708992;"SM3_vallee2_10042022";"Arahurahu 3";"SM3";"Control";"Tahiti";"-149.57486";"-17.6967"
"Tahiti_controle_4";37.3040455537559;0.90136838276034;9110.28702856391;2.22507980487805;0.1255819555833;4.82926829268293;0.0949934290418194;0.012881417449024;0.0442307686384619;0.0972334092842904;2.51356378268126;0.323794098309703;"SM4_vallee2_10042022";"Arahurahu 4";"SM4";"Control";"Tahiti";"-149.5741";"-17.696421"
"Tahiti_controle_5";37.6460832161365;0.903747314137942;8931.93113501407;2.11036360606061;-0.28001942317133;4.66666666666667;0.163119361130791;0.00656510393741069;0.0164215451933575;0.108735857957591;-1.09800632870668;0.450340007604232;"SM5_vallée2_10042022";"Arahurahu 5";"SM5";"Control";"Tahiti";"-149.57639";"-17.69628"
"Tahiti_Papehue_1";66.3327593288784;0.922164072824085;8871.51289434226;2.6139722;0.0900331880450137;0.4;0.0678128621784033;0.00193520526599766;0.0215227879672274;0.00619726826943689;0.178146079574498;5.18256445777323;"SM1_Papehue_08042022";"Papehue 1";"SM1";"Test";"Tahiti";"-149.5774";"-17.659478"
"Tahiti_Papehue_2";55.6798483510936;0.905911777325317;8930.44517600516;2.46494185365854;-0.0627946518286302;0.341463414634146;0.0770874217449075;0.00196340503360409;0.0356054622669463;0.0232897707084244;-0.714239837802984;1.40598211734208;"SM2_Papehue_08042022";"Papehue 2";"SM2";"Test";"Tahiti";"-149.57411";"-17.659842"
"Tahiti_Papehue_3";61.8103115271844;0.907094785007744;8907.53685410519;2.51786028205128;-0.253718991795121;0.128205128205128;0.0707897463555782;0.00243688659528587;0.0404407886251518;0.0178729447613138;-0.246293187679496;2.64176974174909;"SM3 modif point approx";"Papehue 3";"SM3";"Test";"Tahiti";"-149.57245";"-17.658729"
"Tahiti_Papehue_4";60.0657250850183;0.907572957233809;9004.02167146029;2.55200533333333;0.0160770333430375;1.5;0.155174761237562;0.00582380683508286;0.0782421924020132;0.0429132745658205;3.65910839613365;0.754390940465824;"SM4 modif";"Papehue 4";"SM4";"Test";"Tahiti";"-149.57137";"-17.658225"
"Tahiti_Papehue_5";62.7173056612745;0.916148681780789;9056.06447434133;2.58729246511628;-0.116316408650976;1.25581395348837;0.158354022318791;0.0080124294571108;0.102813039810154;0.0329500224837978;-0.234115373147225;1.21751672901583;"SM5_Papehue_08042022";"Papehue 5";"SM5";"Test";"Tahiti";"-149.56897";"-17.658716"
