"name";"BIOAC";"H";"ACI";"ADI";"NDSI";"NP";"cv.BIOAC";"cv.H";"cv.ACI";"cv.ADI";"cv.NDSI";"cv.NP";"initial_name_mapsme";"label";"SM";"site";"island";"X";"Y"
"Tahiti_controle_1";53.0538411409262;0.905423491231601;8832.71459519229;2.370342;0.681340463616662;3.18;0.0195832345655215;0.00114786104007599;0.00198108780752113;0.0393979750589301;0.194756538345732;0.295882727764153;"SM1_vallee_2_10042022";"Arahurahu 1";"SM1";"Control";"Tahiti";"-149.57257";"-17.695632"
"Tahiti_controle_2";50.7186089760548;0.905282640150259;8902.15643119002;2.114553125;0.802798454012914;4.125;0.0187347713447956;0.00229560696245589;0.00542764188155106;0.0382932428563842;0.106217071537671;0.221537346047755;"SM2_vallée2_Tahiti_10042022";"Arahurahu 2";"SM2";"Control";"Tahiti";"-149.5716";"-17.696008"
"Tahiti_controle_3";39.6517348757134;0.910188162756943;8950.58750507969;1.6457888125;0.961282117551287;4.5;0.0318812511483078;0.00356398150627924;0.00422601163434082;0.0832559520072977;0.0248118361092581;0.242567476848807;"SM3_vallee2_10042022";"Arahurahu 3";"SM3";"Control";"Tahiti";"-149.57486";"-17.6967"
"Tahiti_controle_4";38.9550733641594;0.900337542724245;9139.30430465057;1.44042472916667;0.970875674351953;6.60416666666667;0.0659837891417821;0.00671314257661954;0.0224532167543685;0.158549085182597;0.0237886412905329;0.379661429797955;"SM4_vallee2_10042022";"Arahurahu 4";"SM4";"Control";"Tahiti";"-149.5741";"-17.696421"
"Tahiti_controle_5";37.2464174502312;0.903562369925798;8922.36600504884;1.76625232;0.775400335801934;5.28;0.0382909679688639;0.00310241327318977;0.00317089600874669;0.0692263980382259;0.206727682555115;0.302042265502669;"SM5_vallée2_10042022";"Arahurahu 5";"SM5";"Control";"Tahiti";"-149.57639";"-17.69628"
"Tahiti_Papehue_1";67.5627355695107;0.921420340076849;8821.04372175665;2.61200945833333;0.103791383891185;0.916666666666667;0.00282899575379524;0.000684476482805278;0.00172981465598016;0.00539690490863782;0.171160097441923;0.304702029671415;"SM1_Papehue_08042022";"Papehue 1";"SM1";"Test";"Tahiti";"-149.5774";"-17.659478"
"Tahiti_Papehue_2";56.6588547436841;0.90485309781342;8835.20818277256;2.49797435416667;0.013805384920318;1.04166666666667;0.0307105892451747;0.00138080298665829;0.00956205716380528;0.0195648707974666;5.5319239109946;0.340612714496385;"SM2_Papehue_08042022";"Papehue 2";"SM2";"Test";"Tahiti";"-149.57411";"-17.659842"
"Tahiti_Papehue_3";62.5617188672304;0.906535239872845;8832.75538107153;2.51630548;-0.193357378069752;0.94;0.00324724259577001;0.00060655132635339;0.00117303662490016;0.00523053391570072;-0.335314338655884;0.255210571789463;"SM3 modif point approx";"Papehue 3";"SM3";"Test";"Tahiti";"-149.57245";"-17.658729"
"Tahiti_Papehue_4";62.9121867586175;0.907925283017256;8824.20140400185;2.5928665625;0.0598809541746678;2.27083333333333;0.00392474645620819;0.000504412143001859;0.00362726226407575;0.00580720207205559;0.639459628638546;0.217631117054651;"SM4 modif";"Papehue 4";"SM4";"Test";"Tahiti";"-149.57137";"-17.658225"
"Tahiti_Papehue_5";64.865145400167;0.916701385503144;8828.77726310703;2.6200895625;-0.101403424597279;1.79166666666667;0.00346956915432992;0.00100603368949222;0.00600272610045028;0.00677278447596995;-0.0883713090008461;0.229068323210823;"SM5_Papehue_08042022";"Papehue 5";"SM5";"Test";"Tahiti";"-149.56897";"-17.658716"
